date,title,source,event,trade_date,relative_day,compound,bert_label,bert_score
2025-01-03,"After 100 games, Victor Wembanyama's numbers are simply staggering - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-29,0.0,POSITIVE,0.8125330209732056
2025-01-03,"'It's our time': Montana State hall of famer, Dallas Mavericks general manager Nico Harrison - MontanaSports.com",MontanaSports.com,Doncic to Lakers,2025-02-01,-29,0.0,POSITIVE,0.9965353012084961
2025-01-03,Mavericks' Kyrie Irving out against NBA-leading Cavaliers with illness - Sportsnet.ca,Sportsnet.ca,Doncic to Lakers,2025-02-01,-29,-0.4019,NEGATIVE,-0.925905168056488
2025-01-03,Athletes are forced to play defense as burglars score big inside their homes - ESPN,ESPN,Doncic to Lakers,2025-02-01,-29,-0.0258,NEGATIVE,-0.9900736808776855
2025-01-04,"'It's our time': Montana State hall of famer, Dallas Mavericks general manager Nico Harrison - MontanaSports.com",MontanaSports.com,Doncic to Lakers,2025-02-01,-28,0.0,POSITIVE,0.9965353012084961
2025-01-04,"Victor Wembanyama after 100 games: Set to turn 21, his numbers are staggering - Spectrum News",Spectrum News,Doncic to Lakers,2025-02-01,-28,0.0,POSITIVE,0.9941719174385071
2025-01-05,"Kyrie Irving out 1-2 weeks, possibly longer, with bulging back disc - NBC 5 Dallas-Fort Worth",NBC 5 Dallas-Fort Worth,Doncic to Lakers,2025-02-01,-27,0.2263,NEGATIVE,-0.9954003691673279
2025-01-05,Sources: Mavericks' Kyrie Irving (back) out at least 1-2 weeks - ESPN,ESPN,Doncic to Lakers,2025-02-01,-27,0.0,NEGATIVE,-0.9866173267364502
2025-01-05,"FBI issues warning to NFL, NBA about organized crime groups targeting pro athletes - Texas Public Radio | TPR",Texas Public Radio | TPR,Doncic to Lakers,2025-02-01,-27,-0.7096,NEGATIVE,-0.9890069961547852
2025-01-05,"Dallas Mavericks vs Memphis Grizzlies Jan 6, 2025 Game Summary - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-27,0.0,NEGATIVE,-0.574228048324585
2025-01-05,Mavericks’ Kyrie Irving out 1-2 weeks with concerning back injury - ClutchPoints,ClutchPoints,Doncic to Lakers,2025-02-01,-27,-0.4215,NEGATIVE,-0.877906084060669
2025-01-07,"LeBron James, Lakers Ripped By NBA Fans for Loss vs. Mavs with Luka Dončić, Kyrie Out - Bleacher Report",Bleacher Report,Doncic to Lakers,2025-02-01,-25,-0.3182,NEGATIVE,-0.9646800756454468
2025-01-07,Are Youth Sports Too Stressful to Be Fun Anymore? (Published 2025) - The New York Times,The New York Times,Doncic to Lakers,2025-02-01,-25,0.0,NEGATIVE,-0.993069052696228
2025-01-07,Mavericks end 5-game losing streak with a 118-97 victory over Lakers - Spectrum News,Spectrum News,Doncic to Lakers,2025-02-01,-25,-0.3818,NEGATIVE,-0.9121564030647278
2025-01-07,"Los Angeles Lakers vs Dallas Mavericks Jan 7, 2025 Game Summary - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-25,0.0,POSITIVE,0.5894359350204468
2025-01-07,"NBA Insiders: Luka Dončić, Mavs Are Biggest Threat to Thunder in Western Conference - Bleacher Report",Bleacher Report,Doncic to Lakers,2025-02-01,-25,-0.5267,NEGATIVE,-0.7383604645729065
2025-01-07,"No Luka, no Kyrie, no problem: Undermanned Mavericks stun Lakers with 21-point rout - Rappler",Rappler,Doncic to Lakers,2025-02-01,-25,0.428,NEGATIVE,-0.9964771866798401
2025-01-07,"Top 10 highest-paid NBA players in 2025 worldwide, ranked - The Times of India",The Times of India,Doncic to Lakers,2025-02-01,-25,0.2023,POSITIVE,0.999344527721405
2025-01-07,Kyrie Irving out with bulging disk in his back - Spectrum News,Spectrum News,Doncic to Lakers,2025-02-01,-25,0.0,NEGATIVE,-0.9974518418312073
2025-01-07,Lebron James turns back the clock with jaw-dropping lefty dunk that might rewrite the highlight reel - MARCA,MARCA,Doncic to Lakers,2025-02-01,-25,0.34,NEGATIVE,-0.9816142916679382
2025-01-08,"NBA Insiders: Luka Dončić, Mavs Are Biggest Threat to Thunder in Western Conference - Bleacher Report",Bleacher Report,Doncic to Lakers,2025-02-01,-24,-0.5267,NEGATIVE,-0.7383604645729065
2025-01-08,The Shorthanded Mavs Must Survive January. Here’s How They Can Do It. - D Magazine,D Magazine,Doncic to Lakers,2025-02-01,-24,0.0,NEGATIVE,-0.9991956353187561
2025-01-08,"Los Angeles Lakers vs Dallas Mavericks Jan 7, 2025 Game Summary - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-24,0.0,POSITIVE,0.5894368886947632
2025-01-08,"No Luka, no Kyrie, no problem: Undermanned Mavericks stun Lakers with 21-point rout - Rappler",Rappler,Doncic to Lakers,2025-02-01,-24,0.428,NEGATIVE,-0.9964771866798401
2025-01-08,Lebron James turns back the clock with jaw-dropping lefty dunk that might rewrite the highlight reel - MARCA,MARCA,Doncic to Lakers,2025-02-01,-24,0.34,NEGATIVE,-0.9816144108772278
2025-01-09,The Shorthanded Mavs Must Survive January. Here’s How They Can Do It. - D Magazine,D Magazine,Doncic to Lakers,2025-02-01,-23,0.0,NEGATIVE,-0.9991956353187561
2025-01-09,Hardy scores 25 and Mavericks use late 16-0 run to rally past Trail Blazers 117-111 - Spectrum News,Spectrum News,Doncic to Lakers,2025-02-01,-23,0.4019,POSITIVE,0.9866039752960205
2025-01-09,"NBA All-Star Game: LeBron, Steph, KD among 24 projected picks - ESPN",ESPN,Doncic to Lakers,2025-02-01,-23,0.0,POSITIVE,0.992927610874176
2025-01-10,"Mavericks' Luka Doncic to be ineligible for All-NBA, MVP this season - Dallas News",Dallas News,Doncic to Lakers,2025-02-01,-22,0.0,NEGATIVE,-0.9766935706138611
2025-01-10,Luka Doncic forces Los Angeles Lakers legend to U-turn - MARCA,MARCA,Doncic to Lakers,2025-02-01,-22,0.0,POSITIVE,0.9916456341743469
2025-01-10,Hardy scores 25 and Mavericks use late 16-0 run to rally past Trail Blazers 117-111 - Spectrum News,Spectrum News,Doncic to Lakers,2025-02-01,-22,0.4019,POSITIVE,0.9866039752960205
2025-01-10,De Larrea follows in Doncic’s footsteps - Eurohoops,Eurohoops,Doncic to Lakers,2025-02-01,-22,0.0,POSITIVE,0.9977371692657471
2025-01-10,"NBA All-Star Game: LeBron, Steph, KD among 24 projected picks - ESPN",ESPN,Doncic to Lakers,2025-02-01,-22,0.0,POSITIVE,0.992927610874176
2025-01-10,Luka Doncic and Kyrie Irving’s Behind the Scenes Footage Comforts Dallas Amid Injury Concerns - EssentiallySports,EssentiallySports,Doncic to Lakers,2025-02-01,-22,0.0772,POSITIVE,0.9866604804992676
2025-01-11,Luka Doncic ineligible for MVP award - Yahoo Sports,Yahoo Sports,Doncic to Lakers,2025-02-01,-21,0.5423,NEGATIVE,-0.9952347874641418
2025-01-11,Luka Doncic Sends Message to Cooper Flagg After Lakers vs Mavericks Game - beIN SPORTS,beIN SPORTS,Doncic to Lakers,2025-02-01,-21,0.0,POSITIVE,0.920019268989563
2025-01-11,"Mavericks' Luka Doncic to be ineligible for All-NBA, MVP this season - Dallas News",Dallas News,Doncic to Lakers,2025-02-01,-21,0.0,NEGATIVE,-0.9766935706138611
2025-01-11,Will Luka Doncic play tonight against the Denver Nuggets? Latest update on the Dallas Mavericks star's in - The Times of India,The Times of India,Doncic to Lakers,2025-02-01,-21,0.34,NEGATIVE,-0.8678435683250427
2025-01-11,Luka Doncic forces Los Angeles Lakers legend to U-turn - MARCA,MARCA,Doncic to Lakers,2025-02-01,-21,0.0,POSITIVE,0.9916456341743469
2025-01-11,Luka Likely to Be Ineligible for MVP Due to NBA Rules; Can Still Get Max Contract - Bleacher Report,Bleacher Report,Doncic to Lakers,2025-02-01,-21,0.0,NEGATIVE,-0.9941998720169067
2025-01-11,"Denver Nuggets vs Dallas Mavericks Jan 12, 2025 Game Summary - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-21,0.0,NEGATIVE,-0.6528554558753967
2025-01-11,De Larrea follows in Doncic’s footsteps - Eurohoops,Eurohoops,Doncic to Lakers,2025-02-01,-21,0.0,POSITIVE,0.9977371692657471
2025-01-11,Luka Doncic and Kyrie Irving’s Behind the Scenes Footage Comforts Dallas Amid Injury Concerns - EssentiallySports,EssentiallySports,Doncic to Lakers,2025-02-01,-21,0.0772,POSITIVE,0.9866604804992676
2025-01-12,Luka Doncic ineligible for MVP award - Yahoo Sports,Yahoo Sports,Doncic to Lakers,2025-02-01,-20,0.5423,NEGATIVE,-0.9952347874641418
2025-01-12,Jalen Brunson Uses Mavs' Luka Doncic as Example to Criticize Nikola Jokic's MVP Case - Sports Illustrated,Sports Illustrated,Doncic to Lakers,2025-02-01,-20,-0.3818,NEGATIVE,-0.964563250541687
2025-01-12,Luka Doncic Sends Message to Cooper Flagg After Lakers vs Mavericks Game - beIN SPORTS,beIN SPORTS,Doncic to Lakers,2025-02-01,-20,0.0,POSITIVE,0.920019268989563
2025-01-12,Will Luka Doncic play tonight against the Denver Nuggets? Latest update on the Dallas Mavericks star's in - The Times of India,The Times of India,Doncic to Lakers,2025-02-01,-20,0.34,NEGATIVE,-0.8678435683250427
2025-01-12,Luka Likely to Be Ineligible for MVP Due to NBA Rules; Can Still Get Max Contract - Bleacher Report,Bleacher Report,Doncic to Lakers,2025-02-01,-20,0.0,NEGATIVE,-0.9941998720169067
2025-01-12,"Denver Nuggets vs Dallas Mavericks Jan 12, 2025 Game Summary - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-20,0.0,NEGATIVE,-0.6528554558753967
2025-01-12,"Jalen Brunson questions NBA MVP narratives surrounding Nikola Jokic, Luka Doncic - ClutchPoints",ClutchPoints,Doncic to Lakers,2025-02-01,-20,0.0,POSITIVE,0.7202755808830261
2025-01-13,Jalen Brunson Uses Mavs' Luka Doncic as Example to Criticize Nikola Jokic's MVP Case - Sports Illustrated,Sports Illustrated,Doncic to Lakers,2025-02-01,-19,-0.3818,NEGATIVE,-0.964563250541687
2025-01-13,The Mavericks' Next Step Forward Starts with Their Centers - D Magazine,D Magazine,Doncic to Lakers,2025-02-01,-19,0.0,POSITIVE,0.9828773140907288
2025-01-13,"How long is Luka Doncic out? Calf injury timeline, return date, latest updates on Mavericks star - sportingnews.com",sportingnews.com,Doncic to Lakers,2025-02-01,-19,-0.4215,NEGATIVE,-0.9942511320114136
2025-01-13,"Kyrie Irving struggles in Mavs return, confirms bulging disk - ESPN",ESPN,Doncic to Lakers,2025-02-01,-19,-0.3612,NEGATIVE,-0.9974729418754578
2025-01-13,NBA: Mavericks' Luka Doncic Ruled Out Of MVP Race After Suffering Calf Injury - News18,News18,Doncic to Lakers,2025-02-01,-19,-0.7096,NEGATIVE,-0.8236829042434692
2025-01-13,Report: Three Stanley Cup rings missing from Malkin's home - ESPN,ESPN,Doncic to Lakers,2025-02-01,-19,-0.296,NEGATIVE,-0.9995676875114441
2025-01-13,"Jalen Brunson questions NBA MVP narratives surrounding Nikola Jokic, Luka Doncic - ClutchPoints",ClutchPoints,Doncic to Lakers,2025-02-01,-19,0.0,POSITIVE,0.7202759385108948
2025-01-14,"Mavericks' Luka Doncic Now Ineligible For NBA Postseason Awards, Including MVP - Sports Illustrated",Sports Illustrated,Doncic to Lakers,2025-02-01,-18,0.4588,NEGATIVE,-0.9634627103805542
2025-01-14,The Mavericks' Next Step Forward Starts with Their Centers - D Magazine,D Magazine,Doncic to Lakers,2025-02-01,-18,0.0,POSITIVE,0.9828773140907288
2025-01-14,"How long is Luka Doncic out? Calf injury timeline, return date, latest updates on Mavericks star - sportingnews.com",sportingnews.com,Doncic to Lakers,2025-02-01,-18,-0.4215,NEGATIVE,-0.9942511320114136
2025-01-14,Mavericks' Kyrie Irving (back) sidelined vs. Pelicans - ESPN,ESPN,Doncic to Lakers,2025-02-01,-18,0.0,NEGATIVE,-0.7593551874160767
2025-01-14,Kyrie Irving Gets Honest About His Friendship With Luka Doncic - Basketball Forever,Basketball Forever,Doncic to Lakers,2025-02-01,-18,0.7351,POSITIVE,0.9997672438621521
2025-01-14,Jalen Williams claims there should be two DPOY awards - BasketNews.com,BasketNews.com,Doncic to Lakers,2025-02-01,-18,0.4588,NEGATIVE,-0.9740322232246399
2025-01-14,NBA: Mavericks' Luka Doncic Ruled Out Of MVP Race After Suffering Calf Injury - News18,News18,Doncic to Lakers,2025-02-01,-18,-0.7096,NEGATIVE,-0.8236829042434692
2025-01-14,"Luka Doncic update is potentially good news for Dallas Mavericks, he’s been badly missed - NBA Analysis Network",NBA Analysis Network,Doncic to Lakers,2025-02-01,-18,-0.34,NEGATIVE,-0.731386125087738
2025-01-14,Mavericks ‘confident’ Luka Doncic injury return outlook - ClutchPoints,ClutchPoints,Doncic to Lakers,2025-02-01,-18,-0.4215,POSITIVE,0.9974864721298218
2025-01-14,"$8 million tennis star rallies for Luka Doncic & Kyrie Irving's All-Star votes, dubbing Mavericks duo as 'best backcourt' in NBA - Sportskeeda",Sportskeeda,Doncic to Lakers,2025-02-01,-18,0.6369,POSITIVE,0.9974098801612854
2025-01-15,"Mavericks' Luka Doncic Now Ineligible For NBA Postseason Awards, Including MVP - Sports Illustrated",Sports Illustrated,Doncic to Lakers,2025-02-01,-17,0.4588,NEGATIVE,-0.9634627103805542
2025-01-15,Luka Doncic injury update: Dallas Mavericks could have star player back sooner than expected - MARCA,MARCA,Doncic to Lakers,2025-02-01,-17,-0.4215,NEGATIVE,-0.9923404455184937
2025-01-15,Kyrie Irving Gets Honest About His Friendship With Luka Doncic - Basketball Forever,Basketball Forever,Doncic to Lakers,2025-02-01,-17,0.7351,POSITIVE,0.9997672438621521
2025-01-15,"Dennis Smith Jr.: ""Coming to Real Madrid means a lot to me” - Real Madrid CF | Web Oficial",Real Madrid CF | Web Oficial,Doncic to Lakers,2025-02-01,-17,0.0,POSITIVE,0.9977045655250549
2025-01-15,Will a Kansas City Chiefs 3-Peat cement Patrick Mahomes GOAT status | Speak - FOX Sports,FOX Sports,Doncic to Lakers,2025-02-01,-17,0.0,NEGATIVE,-0.9317123889923096
2025-01-15,Luka Doncic Injury Report: Massive Update on Star Guard's Much-Anticipated Date of Return - SportsTak,SportsTak,Doncic to Lakers,2025-02-01,-17,-0.4215,POSITIVE,0.9943251013755798
2025-01-15,"Luka Doncic update is potentially good news for Dallas Mavericks, he’s been badly missed - NBA Analysis Network",NBA Analysis Network,Doncic to Lakers,2025-02-01,-17,-0.34,NEGATIVE,-0.731386125087738
2025-01-15,Mavericks ‘confident’ Luka Doncic injury return outlook - ClutchPoints,ClutchPoints,Doncic to Lakers,2025-02-01,-17,-0.4215,POSITIVE,0.9974864721298218
2025-01-16,Luka Doncic injury update: Dallas Mavericks could have star player back sooner than expected - MARCA,MARCA,Doncic to Lakers,2025-02-01,-16,-0.4215,NEGATIVE,-0.9923404455184937
2025-01-16,Mavericks beat Thunder 106-98 as OKC All-Star Shai Gilgeous-Alexander sits with wrist injury - WKMG,WKMG,Doncic to Lakers,2025-02-01,-16,-0.4215,NEGATIVE,-0.9769477844238281
2025-01-16,"Dennis Smith Jr.: ""Coming to Real Madrid means a lot to me” - Real Madrid CF | Web Oficial",Real Madrid CF | Web Oficial,Doncic to Lakers,2025-02-01,-16,0.0,POSITIVE,0.9977045655250549
2025-01-16,Will a Kansas City Chiefs 3-Peat cement Patrick Mahomes GOAT status | Speak - FOX Sports,FOX Sports,Doncic to Lakers,2025-02-01,-16,0.0,NEGATIVE,-0.9317123889923096
2025-01-16,Stephen Curry in Tight Race for Starting Backcourt Spot in Third All-Star Voting Returns - NBA.com,NBA.com,Doncic to Lakers,2025-02-01,-16,0.0,POSITIVE,0.9919082522392273
2025-01-16,Latest Injury Update on Kyrie Irving and Luka Doncic as Mavericks Gear Up for OKC Thunder Clash - EssentiallySports,EssentiallySports,Doncic to Lakers,2025-02-01,-16,-0.4215,NEGATIVE,-0.983908474445343
2025-01-16,Luka Doncic Injury Report: Massive Update on Star Guard's Much-Anticipated Date of Return - SportsTak,SportsTak,Doncic to Lakers,2025-02-01,-16,-0.4215,POSITIVE,0.9943251013755798
2025-01-16,8 Mavericks Players Who Could Leave The Team In 2025 - Fadeaway World,Fadeaway World,Doncic to Lakers,2025-02-01,-16,-0.0516,NEGATIVE,-0.9443090558052063
2025-01-17,"Mavericks 106-98 Thunder (Jan 17, 2025) Game Recap - ESPN",ESPN,Doncic to Lakers,2025-02-01,-15,0.0,POSITIVE,0.6115403771400452
2025-01-17,Luka Doncic vs Ja Morant: Young Superstars and Their Rapidly Growing Net Worth - The Times of India,The Times of India,Doncic to Lakers,2025-02-01,-15,0.3818,POSITIVE,0.9973750114440918
2025-01-17,Latest Injury Update on Kyrie Irving and Luka Doncic as Mavericks Gear Up for OKC Thunder Clash - EssentiallySports,EssentiallySports,Doncic to Lakers,2025-02-01,-15,-0.4215,NEGATIVE,-0.983908474445343
2025-01-17,8 Mavericks Players Who Could Leave The Team In 2025 - Fadeaway World,Fadeaway World,Doncic to Lakers,2025-02-01,-15,-0.0516,NEGATIVE,-0.9443090558052063
2025-01-18,Mavericks beat Thunder 106-98 as OKC All-Star Shai Gilgeous-Alexander sits with wrist injury - WSLS,WSLS,Doncic to Lakers,2025-02-01,-14,-0.4215,NEGATIVE,-0.9824131727218628
2025-01-18,Luka Doncic vs Ja Morant: Young Superstars and Their Rapidly Growing Net Worth - The Times of India,The Times of India,Doncic to Lakers,2025-02-01,-14,0.3818,POSITIVE,0.9973750114440918
2025-01-18,Rumors: Mavericks shockingly 'dangle' key piece in trade talks ahead of deadline - The Smoking Cuban,The Smoking Cuban,Doncic to Lakers,2025-02-01,-14,-0.1779,NEGATIVE,-0.9815605878829956
2025-01-19,Detroit Lions OC Ben Johnson takes over as Chicago Bears head coach | Speak - FOX Sports,FOX Sports,Doncic to Lakers,2025-02-01,-13,0.0,POSITIVE,0.989932656288147
2025-01-19,"Dallas Mavericks vs Charlotte Hornets Jan 20, 2025 Game Summary - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-13,0.0,NEGATIVE,-0.5876290202140808
2025-01-19,Lakers trade rumors: How LeBron James and Co. can acquire Luka Doncic's 'perfect partner' from Mavericks in 3-team deal - Sportskeeda,Sportskeeda,Doncic to Lakers,2025-02-01,-13,0.5719,POSITIVE,0.6779136657714844
2025-01-20,Detroit Lions OC Ben Johnson takes over as Chicago Bears head coach | Speak - FOX Sports,FOX Sports,Doncic to Lakers,2025-02-01,-12,0.0,POSITIVE,0.989932656288147
2025-01-20,"Dallas Mavericks vs Charlotte Hornets Jan 20, 2025 Game Summary - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-12,0.0,NEGATIVE,-0.5876290202140808
2025-01-20,Lakers trade rumors: How LeBron James and Co. can acquire Luka Doncic's 'perfect partner' from Mavericks in 3-team deal - Sportskeeda,Sportskeeda,Doncic to Lakers,2025-02-01,-12,0.5719,POSITIVE,0.6779136657714844
2025-01-21,Jason Kidd gives update on Luka Doncic's injury - BasketNews.com,BasketNews.com,Doncic to Lakers,2025-02-01,-11,-0.4215,POSITIVE,0.8855125308036804
2025-01-21,Rumors: Luka Doncic sets ambitious 'goal' return date from calf strain - The Smoking Cuban,The Smoking Cuban,Doncic to Lakers,2025-02-01,-11,0.4404,NEGATIVE,-0.9632471203804016
2025-01-21,Sources: Mavs' Dereck Lively II out months with ankle fracture - ESPN,ESPN,Doncic to Lakers,2025-02-01,-11,0.4404,NEGATIVE,-0.9799285531044006
2025-01-22,Jason Kidd gives update on Luka Doncic's injury - BasketNews.com,BasketNews.com,Doncic to Lakers,2025-02-01,-10,-0.4215,POSITIVE,0.8855125308036804
2025-01-22,Rumors: Luka Doncic sets ambitious 'goal' return date from calf strain - The Smoking Cuban,The Smoking Cuban,Doncic to Lakers,2025-02-01,-10,0.4404,NEGATIVE,-0.9632471203804016
2025-01-22,2025 All-Star starters: 5 takeaways as generational legends secure their spots - NBA.com,NBA.com,Doncic to Lakers,2025-02-01,-10,0.34,POSITIVE,0.9989758729934692
2025-01-22,Jaden McDaniels goes for career-high 27 points as Wolves outlast Mavs 115-114 - Spectrum News,Spectrum News,Doncic to Lakers,2025-02-01,-10,0.0,POSITIVE,0.9901701807975769
2025-01-22,"OKC Thunder vs Dallas Mavericks: Prediction, picks, injury updates and odds - The Oklahoman",The Oklahoman,Doncic to Lakers,2025-02-01,-10,-0.4215,POSITIVE,0.5687142014503479
2025-01-22,Sources: Mavs' Dereck Lively II out months with ankle fracture - ESPN,ESPN,Doncic to Lakers,2025-02-01,-10,0.4404,NEGATIVE,-0.9799285531044006
2025-01-22,Kyrie Irving admits he almost ‘dropped a tear’ after reaching career milestone - The Big Lead,The Big Lead,Doncic to Lakers,2025-02-01,-10,0.4588,NEGATIVE,-0.9872795343399048
2025-01-22,"Luka Doncic Honors CHBL with Vibrant Jordan Luka 3 ""CHBL All-Star"" - HotNewHipHop",HotNewHipHop,Doncic to Lakers,2025-02-01,-10,0.7717,POSITIVE,0.999751627445221
2025-01-23,"Dallas Has Oklahoma City's Number, and without Superstar Luka Doncic - Sports Illustrated",Sports Illustrated,Doncic to Lakers,2025-02-01,-9,0.0772,NEGATIVE,-0.8823453187942505
2025-01-23,2025 All-Star starters: 5 takeaways as generational legends secure their spots - NBA.com,NBA.com,Doncic to Lakers,2025-02-01,-9,0.34,POSITIVE,0.9989758729934692
2025-01-23,Re-grading the biggest 2024 NBA trades - Basketball Poetry,Basketball Poetry,Doncic to Lakers,2025-02-01,-9,0.0,NEGATIVE,-0.9963604807853699
2025-01-23,"eBay, Goldin January auctions feature rare NBA cards of Michael Jordan, LeBron James - Sports Collectors Digest",Sports Collectors Digest,Doncic to Lakers,2025-02-01,-9,0.0,POSITIVE,0.9235967397689819
2025-01-23,"OKC Thunder vs Dallas Mavericks: Prediction, picks, injury updates and odds - The Oklahoman",The Oklahoman,Doncic to Lakers,2025-02-01,-9,-0.4215,POSITIVE,0.5687142014503479
2025-01-23,"The ties between soccer and the NBA are real, and they're still growing - News4JAX",News4JAX,Doncic to Lakers,2025-02-01,-9,0.1779,POSITIVE,0.9993201494216919
2025-01-23,PJ Washington listed as mayor of Oklahoma City on Wikipedia after Mavs win over Thunder - FOX 4 News Dallas-Fort Worth,FOX 4 News Dallas-Fort Worth,Doncic to Lakers,2025-02-01,-9,0.6908,POSITIVE,0.7211294770240784
2025-01-23,Kyrie Irving admits he almost ‘dropped a tear’ after reaching career milestone - The Big Lead,The Big Lead,Doncic to Lakers,2025-02-01,-9,0.4588,NEGATIVE,-0.9872795343399048
2025-01-23,Giannis Antetokounmpo and Nikola Jokic are officially in the All-Star Game - Eurohoops,Eurohoops,Doncic to Lakers,2025-02-01,-9,0.0,POSITIVE,0.999247670173645
2025-01-23,"Luka Doncic Honors CHBL with Vibrant Jordan Luka 3 ""CHBL All-Star"" - HotNewHipHop",HotNewHipHop,Doncic to Lakers,2025-02-01,-9,0.7717,POSITIVE,0.999751627445221
2025-01-24,Report: 'Optimism' Luka Dončić Will Return to Mavs from Calf Injury Before NBA ASG - Bleacher Report,Bleacher Report,Doncic to Lakers,2025-02-01,-8,0.1779,POSITIVE,0.9972162246704102
2025-01-24,"Dallas Has Oklahoma City's Number, and without Superstar Luka Doncic - Sports Illustrated",Sports Illustrated,Doncic to Lakers,2025-02-01,-8,0.0772,NEGATIVE,-0.8823451399803162
2025-01-24,Will Luka Doncic play tonight against the Boston Celtics? Latest update on the Dallas Mavericks star's in - The Times of India,The Times of India,Doncic to Lakers,2025-02-01,-8,0.34,NEGATIVE,-0.9213578104972839
2025-01-24,Re-grading the biggest 2024 NBA trades - Basketball Poetry,Basketball Poetry,Doncic to Lakers,2025-02-01,-8,0.0,NEGATIVE,-0.9963604807853699
2025-01-24,"eBay, Goldin January auctions feature rare NBA cards of Michael Jordan, LeBron James - Sports Collectors Digest",Sports Collectors Digest,Doncic to Lakers,2025-02-01,-8,0.0,POSITIVE,0.9235969185829163
2025-01-24,Stein: Optimism Mavs’ Doncic Will Return Before ASG - Hoops Rumors,Hoops Rumors,Doncic to Lakers,2025-02-01,-8,0.5423,POSITIVE,0.9660425186157227
2025-01-24,"The ties between soccer and the NBA are real, and they're still growing - News4JAX",News4JAX,Doncic to Lakers,2025-02-01,-8,0.1779,POSITIVE,0.9993201494216919
2025-01-24,Caboclo helps send Brazil past Philippines into Riga Olympic Qualifying Tournament final - olympics.com,olympics.com,Doncic to Lakers,2025-02-01,-8,0.3818,POSITIVE,0.9985413551330566
2025-01-25,Report: 'Optimism' Luka Dončić Will Return to Mavs from Calf Injury Before NBA ASG - Bleacher Report,Bleacher Report,Doncic to Lakers,2025-02-01,-7,0.1779,POSITIVE,0.9972162246704102
2025-01-25,Will Luka Doncic play tonight against the Boston Celtics? Latest update on the Dallas Mavericks star's in - The Times of India,The Times of India,Doncic to Lakers,2025-02-01,-7,0.34,NEGATIVE,-0.9213578104972839
2025-01-25,1/25 Game Preview: Celtics at Mavericks - NBA.com,NBA.com,Doncic to Lakers,2025-02-01,-7,0.0,POSITIVE,0.8130659461021423
2025-01-25,Stein: Optimism Mavs’ Doncic Will Return Before ASG - Hoops Rumors,Hoops Rumors,Doncic to Lakers,2025-02-01,-7,0.5423,POSITIVE,0.9660425186157227
2025-01-25,"Boston Celtics vs Dallas Mavericks Jan 25, 2025 Game Summary - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-7,0.0,POSITIVE,0.5208978056907654
2025-01-25,"Maxi Kleber suffers right foot fracture, added to Mavericks' frontcourt injury woes - NBA.com",NBA.com,Doncic to Lakers,2025-02-01,-7,-0.8316,NEGATIVE,-0.9985187649726868
